M,N,K,P,run,elapsed 
2000,2000,2000,1,1,11.513218600 
2000,2000,2000,1,2,11.744809500 
2000,2000,2000,1,3,11.309887000 
2000,2000,2000,2,1,10.055785000 
2000,2000,2000,2,2,8.438564800 
2000,2000,2000,2,3,7.783846000 
2000,2000,2000,4,1,3.850155400 
2000,2000,2000,4,2,3.502472800 
2000,2000,2000,4,3,3.461237200 
2000,2000,2000,6,1,2.994280600 
2000,2000,2000,6,2,2.992864800 
2000,2000,2000,6,3,2.944022600 
2000,2000,2000,12,1,5.792118600 
2000,2000,2000,12,2,5.729052200 
2000,2000,2000,12,3,5.676415900 
2000,2000,2000,20,1,5.857034000 
2000,2000,2000,20,2,5.924920300 
2000,2000,2000,20,3,5.805589500 
2000,2000,2000,32,1,5.903762200 
2000,2000,2000,32,2,5.868130100 
2000,2000,2000,32,3,5.818389800 
